Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise,Data Inicio Esperada,Data Fim Esperada
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1366,EL copy/parse tb_bcc_tipo_fatura,Canceled,2025-07-15T17:18:55.118-0300,2025-07-30T17:42:17.450-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1365,EL copy/parse scm_hierarquia_empresa_estabelecimento,Done,2025-07-15T17:17:29.947-0300,2025-08-11T19:19:54.178-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1364,EL copy/parse ibm_pais_origem,Done,2025-07-15T17:16:54.407-0300,2025-08-11T19:18:50.566-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1363,EL copy/parse ibm_estabelecimento_producao,Done,2025-07-15T17:16:27.319-0300,2025-08-11T19:18:32.088-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1362,EL copy/parse exportacao_pantentamiento,Done,2025-07-15T17:15:49.579-0300,2025-08-11T19:18:27.680-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1361,EL copy/parse exportacao_diccionario_segmentos,Done,2025-07-15T17:13:05.334-0300,2025-08-11T19:18:24.328-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1360,EL copy/parse crm_cliente_anagrafico,Done,2025-07-15T17:12:23.327-0300,2025-08-21T16:11:54.516-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1357,EL copy/parse carga_fria_tipo_pessoa,Done,2025-07-15T17:11:40.335-0300,2025-08-11T19:17:45.531-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1351,EL copy/parse carga_fria_tipo_marca,Done,2025-07-15T17:11:14.170-0300,2025-08-11T19:17:39.540-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1345,EL copy/parse carga_fria_tipo_combustivel,Done,2025-07-15T17:09:55.691-0300,2025-08-11T19:17:36.064-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1344,EL copy/parse carga_fria_tipo_carroceria,Done,2025-07-15T17:09:41.849-0300,2025-08-11T19:03:00.856-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
TOAWS-1212,[Brain] Tabelas por Eventos,Brain,TOAWS-1340,EL copy/parse carga_fria_tempo,Done,2025-07-15T17:09:22.041-0300,2025-08-11T19:02:50.030-0300,0,Desenvolvimento/Outros,2025-07-28,2025-10-03
